Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,225
'0:0:0.02,232
'0:0:0.04,251
'0:0:0.06,293
'0:0:0.08,330
'0:0:0.1,351
'0:0:0.12,360
'0:0:0.14,365
'0:0:0.16,370
'0:0:0.18,373
'0:0:0.2,379
'0:0:0.22,388
'0:0:0.24,392
'0:0:0.26,389
'0:0:0.28,380
'0:0:0.3,369
'0:0:0.32,358
'0:0:0.34,353
'0:0:0.36,350
'0:0:0.38,345
'0:0:0.4,340
'0:0:0.42,339
'0:0:0.44,341
'0:0:0.46,337
'0:0:0.48,327
'0:0:0.5,318
'0:0:0.52,316
'0:0:0.54,318
'0:0:0.56,321
'0:0:0.58,323
'0:0:0.6,324
'0:0:0.62,322
'0:0:0.64,329
'0:0:0.66,341
'0:0:0.68,351
'0:0:0.7,362
'0:0:0.72,384
'0:0:0.74,414
'0:0:0.76,447
'0:0:0.78,476
'0:0:0.8,486
'0:0:0.82,479
'0:0:0.84,460
'0:0:0.86,435
'0:0:0.88,415
'0:0:0.9,400
'0:0:0.92,387
'0:0:0.94,372
'0:0:0.96,366
'0:0:0.98,364
'0:0:1.0,362
'0:0:1.02,361
'0:0:1.04,363
'0:0:1.06,363
'0:0:1.08,364
'0:0:1.1,363
'0:0:1.12,361
'0:0:1.14,358
'0:0:1.16,354
'0:0:1.18,350
'0:0:1.2,347
'0:0:1.22,347
'0:0:1.24,347
'0:0:1.26,347
'0:0:1.28,350
'0:0:1.3,353
'0:0:1.32,356
'0:0:1.34,359
'0:0:1.36,358
'0:0:1.38,352
'0:0:1.4,348
'0:0:1.42,348
'0:0:1.44,345
'0:0:1.46,345
'0:0:1.48,355
'0:0:1.5,380
'0:0:1.52,414
'0:0:1.54,447
'0:0:1.56,472
'0:0:1.58,481
'0:0:1.6,478
'0:0:1.62,464
'0:0:1.64,443
'0:0:1.66,426
'0:0:1.68,413
'0:0:1.7,402
'0:0:1.72,394
'0:0:1.74,386
'0:0:1.76,378
'0:0:1.78,374
'0:0:1.8,373
'0:0:1.82,371
'0:0:1.84,370
'0:0:1.86,370
'0:0:1.88,370
'0:0:1.9,365
'0:0:1.92,360
'0:0:1.94,354
'0:0:1.96,348
'0:0:1.98,343
'0:0:2.0,341
'0:0:2.02,339
'0:0:2.04,338
'0:0:2.06,343
'0:0:2.08,351
'0:0:2.1,361
'0:0:2.12,367
'0:0:2.14,373
'0:0:2.16,375
'0:0:2.18,378
'0:0:2.2,381
'0:0:2.22,379
'0:0:2.24,375
'0:0:2.26,367
'0:0:2.28,359
'0:0:2.3,354
'0:0:2.32,355
'0:0:2.34,369
'0:0:2.36,397
'0:0:2.38,431
'0:0:2.4,452
'0:0:2.42,454
