Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,335
'0:0:0.02,322
'0:0:0.04,309
'0:0:0.06,316
'0:0:0.08,327
'0:0:0.1,338
'0:0:0.12,346
'0:0:0.14,354
'0:0:0.16,363
'0:0:0.18,373
'0:0:0.2,382
'0:0:0.22,386
'0:0:0.24,391
'0:0:0.26,398
'0:0:0.28,403
'0:0:0.3,405
'0:0:0.32,402
'0:0:0.34,402
'0:0:0.36,405
'0:0:0.38,406
'0:0:0.4,402
'0:0:0.42,391
'0:0:0.44,380
'0:0:0.46,376
'0:0:0.48,377
'0:0:0.5,378
'0:0:0.52,375
'0:0:0.54,373
'0:0:0.56,375
'0:0:0.58,377
'0:0:0.6,378
'0:0:0.62,377
'0:0:0.64,377
'0:0:0.66,380
'0:0:0.68,381
'0:0:0.7,381
'0:0:0.72,381
'0:0:0.74,380
'0:0:0.76,382
'0:0:0.78,383
'0:0:0.8,384
'0:0:0.82,381
'0:0:0.84,378
'0:0:0.86,379
'0:0:0.88,380
'0:0:0.9,380
'0:0:0.92,376
'0:0:0.94,374
'0:0:0.96,376
'0:0:0.98,380
'0:0:1.0,382
'0:0:1.02,381
'0:0:1.04,380
'0:0:1.06,385
'0:0:1.08,397
'0:0:1.1,408
'0:0:1.12,412
'0:0:1.14,413
'0:0:1.16,414
'0:0:1.18,412
'0:0:1.2,407
'0:0:1.22,397
'0:0:1.24,389
'0:0:1.26,387
'0:0:1.28,386
'0:0:1.3,385
'0:0:1.32,381
'0:0:1.34,377
'0:0:1.36,377
'0:0:1.38,379
'0:0:1.4,379
'0:0:1.42,378
'0:0:1.44,377
'0:0:1.46,379
'0:0:1.48,380
'0:0:1.5,381
'0:0:1.52,379
'0:0:1.54,377
'0:0:1.56,379
'0:0:1.58,380
'0:0:1.6,381
'0:0:1.62,378
'0:0:1.64,377
'0:0:1.66,380
'0:0:1.68,382
'0:0:1.7,384
'0:0:1.72,385
'0:0:1.74,385
'0:0:1.76,388
'0:0:1.78,389
'0:0:1.8,389
'0:0:1.82,384
'0:0:1.84,381
'0:0:1.86,386
'0:0:1.88,392
'0:0:1.9,397
'0:0:1.92,397
'0:0:1.94,395
'0:0:1.96,394
'0:0:1.98,392
'0:0:2.0,388
'0:0:2.02,380
'0:0:2.04,374
'0:0:2.06,371
'0:0:2.08,374
'0:0:2.1,377
'0:0:2.12,375
'0:0:2.14,374
'0:0:2.16,376
'0:0:2.18,379
'0:0:2.2,381
'0:0:2.22,379
'0:0:2.24,381
'0:0:2.26,390
'0:0:2.28,398
'0:0:2.3,400
'0:0:2.32,399
'0:0:2.34,401
'0:0:2.36,403
'0:0:2.38,403
'0:0:2.4,400
'0:0:2.42,394
