Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,311
'0:0:0.02,311
'0:0:0.04,355
'0:0:0.06,421
'0:0:0.08,466
'0:0:0.1,474
'0:0:0.12,453
'0:0:0.14,419
'0:0:0.16,382
'0:0:0.18,353
'0:0:0.2,333
'0:0:0.22,320
'0:0:0.24,313
'0:0:0.26,306
'0:0:0.28,301
'0:0:0.3,302
'0:0:0.32,308
'0:0:0.34,322
'0:0:0.36,340
'0:0:0.38,357
'0:0:0.4,370
'0:0:0.42,376
'0:0:0.44,377
'0:0:0.46,375
'0:0:0.48,373
'0:0:0.5,373
'0:0:0.52,371
'0:0:0.54,369
'0:0:0.56,367
'0:0:0.58,368
'0:0:0.6,374
'0:0:0.62,379
'0:0:0.64,381
'0:0:0.66,400
'0:0:0.68,456
'0:0:0.7,525
'0:0:0.72,570
'0:0:0.74,581
'0:0:0.76,563
'0:0:0.78,529
'0:0:0.8,490
'0:0:0.82,452
'0:0:0.84,420
'0:0:0.86,396
'0:0:0.88,376
'0:0:0.9,357
'0:0:0.92,340
'0:0:0.94,332
'0:0:0.96,334
'0:0:0.98,343
'0:0:1.0,358
'0:0:1.02,370
'0:0:1.04,376
'0:0:1.06,375
'0:0:1.08,371
'0:0:1.1,365
'0:0:1.12,359
'0:0:1.14,353
'0:0:1.16,350
'0:0:1.18,349
'0:0:1.2,349
'0:0:1.22,349
'0:0:1.24,347
'0:0:1.26,343
'0:0:1.28,345
'0:0:1.3,379
'0:0:1.32,438
'0:0:1.34,488
'0:0:1.36,511
'0:0:1.38,507
'0:0:1.4,484
'0:0:1.42,453
'0:0:1.44,421
'0:0:1.46,393
'0:0:1.48,373
'0:0:1.5,358
'0:0:1.52,342
'0:0:1.54,327
'0:0:1.56,318
'0:0:1.58,319
'0:0:1.6,330
'0:0:1.62,344
'0:0:1.64,357
'0:0:1.66,365
'0:0:1.68,369
'0:0:1.7,367
'0:0:1.72,360
'0:0:1.74,352
'0:0:1.76,347
'0:0:1.78,343
'0:0:1.8,341
'0:0:1.82,339
'0:0:1.84,340
'0:0:1.86,340
'0:0:1.88,341
'0:0:1.9,347
'0:0:1.92,379
'0:0:1.94,436
'0:0:1.96,486
'0:0:1.98,510
'0:0:2.0,508
'0:0:2.02,488
'0:0:2.04,460
'0:0:2.06,430
'0:0:2.08,404
'0:0:2.1,385
'0:0:2.12,372
'0:0:2.14,360
'0:0:2.16,347
'0:0:2.18,339
'0:0:2.2,341
'0:0:2.22,354
'0:0:2.24,370
'0:0:2.26,384
'0:0:2.28,396
'0:0:2.3,404
'0:0:2.32,406
'0:0:2.34,404
'0:0:2.36,402
'0:0:2.38,399
'0:0:2.4,394
'0:0:2.42,383
