Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,372
'0:0:0.02,364
'0:0:0.04,355
'0:0:0.06,357
'0:0:0.08,359
'0:0:0.1,360
'0:0:0.12,364
'0:0:0.14,367
'0:0:0.16,367
'0:0:0.18,364
'0:0:0.2,361
'0:0:0.22,361
'0:0:0.24,367
'0:0:0.26,389
'0:0:0.28,416
'0:0:0.3,438
'0:0:0.32,450
'0:0:0.34,451
'0:0:0.36,441
'0:0:0.38,419
'0:0:0.4,398
'0:0:0.42,382
'0:0:0.44,371
'0:0:0.46,367
'0:0:0.48,364
'0:0:0.5,360
'0:0:0.52,362
'0:0:0.54,371
'0:0:0.56,383
'0:0:0.58,391
'0:0:0.6,392
'0:0:0.62,390
'0:0:0.64,389
'0:0:0.66,387
'0:0:0.68,381
'0:0:0.7,376
'0:0:0.72,374
'0:0:0.74,374
'0:0:0.76,375
'0:0:0.78,374
'0:0:0.8,373
'0:0:0.82,375
'0:0:0.84,376
'0:0:0.86,376
'0:0:0.88,372
'0:0:0.9,369
'0:0:0.92,371
'0:0:0.94,375
'0:0:0.96,377
'0:0:0.98,376
'0:0:1.0,373
'0:0:1.02,373
'0:0:1.04,378
'0:0:1.06,393
'0:0:1.08,416
'0:0:1.1,437
'0:0:1.12,452
'0:0:1.14,456
'0:0:1.16,450
'0:0:1.18,433
'0:0:1.2,413
'0:0:1.22,396
'0:0:1.24,382
'0:0:1.26,371
'0:0:1.28,357
'0:0:1.3,345
'0:0:1.32,341
'0:0:1.34,344
'0:0:1.36,351
'0:0:1.38,358
'0:0:1.4,366
'0:0:1.42,372
'0:0:1.44,375
'0:0:1.46,373
'0:0:1.48,364
'0:0:1.5,354
'0:0:1.52,348
'0:0:1.54,344
'0:0:1.56,341
'0:0:1.58,333
'0:0:1.6,327
'0:0:1.62,326
'0:0:1.64,328
'0:0:1.66,329
'0:0:1.68,326
'0:0:1.7,334
'0:0:1.72,356
'0:0:1.74,382
'0:0:1.76,403
'0:0:1.78,410
'0:0:1.8,408
'0:0:1.82,404
'0:0:1.84,399
'0:0:1.86,395
'0:0:1.88,390
'0:0:1.9,388
'0:0:1.92,392
'0:0:1.94,395
'0:0:1.96,396
'0:0:1.98,394
'0:0:2.0,393
'0:0:2.02,398
'0:0:2.04,403
'0:0:2.06,404
'0:0:2.08,398
'0:0:2.1,389
'0:0:2.12,383
'0:0:2.14,377
'0:0:2.16,371
'0:0:2.18,361
'0:0:2.2,353
'0:0:2.22,349
'0:0:2.24,348
'0:0:2.26,346
'0:0:2.28,342
'0:0:2.3,337
'0:0:2.32,332
'0:0:2.34,331
'0:0:2.36,333
'0:0:2.38,354
'0:0:2.4,386
'0:0:2.42,414
