Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,371
'0:0:0.02,359
'0:0:0.04,345
'0:0:0.06,345
'0:0:0.08,348
'0:0:0.1,354
'0:0:0.12,360
'0:0:0.14,364
'0:0:0.16,367
'0:0:0.18,368
'0:0:0.2,370
'0:0:0.22,372
'0:0:0.24,374
'0:0:0.26,375
'0:0:0.28,375
'0:0:0.3,376
'0:0:0.32,374
'0:0:0.34,375
'0:0:0.36,376
'0:0:0.38,380
'0:0:0.4,390
'0:0:0.42,401
'0:0:0.44,405
'0:0:0.46,404
'0:0:0.48,401
'0:0:0.5,397
'0:0:0.52,393
'0:0:0.54,389
'0:0:0.56,385
'0:0:0.58,381
'0:0:0.6,376
'0:0:0.62,378
'0:0:0.64,379
'0:0:0.66,379
'0:0:0.68,380
'0:0:0.7,381
'0:0:0.72,382
'0:0:0.74,382
'0:0:0.76,381
'0:0:0.78,380
'0:0:0.8,378
'0:0:0.82,376
'0:0:0.84,374
'0:0:0.86,372
'0:0:0.88,371
'0:0:0.9,370
'0:0:0.92,369
'0:0:0.94,369
'0:0:0.96,368
'0:0:0.98,367
'0:0:1.0,363
'0:0:1.02,357
'0:0:1.04,354
'0:0:1.06,357
'0:0:1.08,363
'0:0:1.1,370
'0:0:1.12,382
'0:0:1.14,397
'0:0:1.16,417
'0:0:1.18,431
'0:0:1.2,436
'0:0:1.22,434
'0:0:1.24,428
'0:0:1.26,422
'0:0:1.28,415
'0:0:1.3,408
'0:0:1.32,402
'0:0:1.34,396
'0:0:1.36,391
'0:0:1.38,387
'0:0:1.4,384
'0:0:1.42,381
'0:0:1.44,379
'0:0:1.46,378
'0:0:1.48,377
'0:0:1.5,376
'0:0:1.52,375
'0:0:1.54,373
'0:0:1.56,371
'0:0:1.58,369
'0:0:1.6,364
'0:0:1.62,367
'0:0:1.64,371
'0:0:1.66,373
'0:0:1.68,374
'0:0:1.7,375
'0:0:1.72,376
'0:0:1.74,376
'0:0:1.76,376
'0:0:1.78,375
'0:0:1.8,375
'0:0:1.82,375
'0:0:1.84,373
'0:0:1.86,372
'0:0:1.88,369
'0:0:1.9,368
'0:0:1.92,367
'0:0:1.94,365
'0:0:1.96,365
'0:0:1.98,364
'0:0:2.0,364
'0:0:2.02,365
'0:0:2.04,365
'0:0:2.06,365
'0:0:2.08,365
'0:0:2.1,366
'0:0:2.12,370
'0:0:2.14,383
'0:0:2.16,398
'0:0:2.18,408
'0:0:2.2,411
'0:0:2.22,409
'0:0:2.24,403
'0:0:2.26,397
'0:0:2.28,392
'0:0:2.3,389
'0:0:2.32,387
'0:0:2.34,385
'0:0:2.36,383
'0:0:2.38,382
'0:0:2.4,382
'0:0:2.42,383
