Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,381
'0:0:0.02,373
'0:0:0.04,361
'0:0:0.06,353
'0:0:0.08,343
'0:0:0.1,338
'0:0:0.12,342
'0:0:0.14,347
'0:0:0.16,348
'0:0:0.18,345
'0:0:0.2,340
'0:0:0.22,336
'0:0:0.24,338
'0:0:0.26,333
'0:0:0.28,324
'0:0:0.3,317
'0:0:0.32,317
'0:0:0.34,319
'0:0:0.36,322
'0:0:0.38,325
'0:0:0.4,329
'0:0:0.42,339
'0:0:0.44,346
'0:0:0.46,349
'0:0:0.48,350
'0:0:0.5,355
'0:0:0.52,368
'0:0:0.54,385
'0:0:0.56,406
'0:0:0.58,426
'0:0:0.6,440
'0:0:0.62,449
'0:0:0.64,444
'0:0:0.66,424
'0:0:0.68,396
'0:0:0.7,368
'0:0:0.72,347
'0:0:0.74,332
'0:0:0.76,320
'0:0:0.78,313
'0:0:0.8,318
'0:0:0.82,335
'0:0:0.84,354
'0:0:0.86,367
'0:0:0.88,375
'0:0:0.9,384
'0:0:0.92,396
'0:0:0.94,401
'0:0:0.96,399
'0:0:0.98,391
'0:0:1.0,382
'0:0:1.02,380
'0:0:1.04,378
'0:0:1.06,374
'0:0:1.08,368
'0:0:1.1,362
'0:0:1.12,362
'0:0:1.14,360
'0:0:1.16,355
'0:0:1.18,347
'0:0:1.2,341
'0:0:1.22,341
'0:0:1.24,350
'0:0:1.26,358
'0:0:1.28,367
'0:0:1.3,388
'0:0:1.32,425
'0:0:1.34,458
'0:0:1.36,473
'0:0:1.38,473
'0:0:1.4,465
'0:0:1.42,456
'0:0:1.44,443
'0:0:1.46,428
'0:0:1.48,413
'0:0:1.5,405
'0:0:1.52,403
'0:0:1.54,401
'0:0:1.56,397
'0:0:1.58,389
'0:0:1.6,385
'0:0:1.62,388
'0:0:1.64,391
'0:0:1.66,392
'0:0:1.68,389
'0:0:1.7,387
'0:0:1.72,390
'0:0:1.74,391
'0:0:1.76,388
'0:0:1.78,381
'0:0:1.8,377
'0:0:1.82,378
'0:0:1.84,380
'0:0:1.86,379
'0:0:1.88,373
'0:0:1.9,373
'0:0:1.92,377
'0:0:1.94,382
'0:0:1.96,384
'0:0:1.98,382
'0:0:2.0,381
'0:0:2.02,383
'0:0:2.04,386
'0:0:2.06,389
'0:0:2.08,395
'0:0:2.1,412
'0:0:2.12,434
'0:0:2.14,450
'0:0:2.16,452
'0:0:2.18,441
'0:0:2.2,429
'0:0:2.22,418
'0:0:2.24,413
'0:0:2.26,407
'0:0:2.28,395
'0:0:2.3,386
'0:0:2.32,384
'0:0:2.34,384
'0:0:2.36,384
'0:0:2.38,383
'0:0:2.4,386
'0:0:2.42,393
