Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,445
'0:0:0.02,426
'0:0:0.04,404
'0:0:0.06,393
'0:0:0.08,384
'0:0:0.1,378
'0:0:0.12,375
'0:0:0.14,373
'0:0:0.16,368
'0:0:0.18,359
'0:0:0.2,351
'0:0:0.22,348
'0:0:0.24,349
'0:0:0.26,346
'0:0:0.28,333
'0:0:0.3,323
'0:0:0.32,320
'0:0:0.34,316
'0:0:0.36,318
'0:0:0.38,318
'0:0:0.4,319
'0:0:0.42,323
'0:0:0.44,330
'0:0:0.46,338
'0:0:0.48,339
'0:0:0.5,342
'0:0:0.52,362
'0:0:0.54,395
'0:0:0.56,427
'0:0:0.58,441
'0:0:0.6,439
'0:0:0.62,432
'0:0:0.64,424
'0:0:0.66,414
'0:0:0.68,401
'0:0:0.7,391
'0:0:0.72,385
'0:0:0.74,379
'0:0:0.76,376
'0:0:0.78,368
'0:0:0.8,360
'0:0:0.82,361
'0:0:0.84,367
'0:0:0.86,371
'0:0:0.88,372
'0:0:0.9,371
'0:0:0.92,374
'0:0:0.94,382
'0:0:0.96,386
'0:0:0.98,382
'0:0:1.0,378
'0:0:1.02,376
'0:0:1.04,375
'0:0:1.06,374
'0:0:1.08,368
'0:0:1.1,361
'0:0:1.12,359
'0:0:1.14,361
'0:0:1.16,367
'0:0:1.18,381
'0:0:1.2,403
'0:0:1.22,426
'0:0:1.24,439
'0:0:1.26,437
'0:0:1.28,421
'0:0:1.3,402
'0:0:1.32,391
'0:0:1.34,386
'0:0:1.36,383
'0:0:1.38,377
'0:0:1.4,367
'0:0:1.42,363
'0:0:1.44,365
'0:0:1.46,367
'0:0:1.48,367
'0:0:1.5,366
'0:0:1.52,369
'0:0:1.54,375
'0:0:1.56,378
'0:0:1.58,376
'0:0:1.6,370
'0:0:1.62,369
'0:0:1.64,372
'0:0:1.66,373
'0:0:1.68,371
'0:0:1.7,369
'0:0:1.72,371
'0:0:1.74,374
'0:0:1.76,382
'0:0:1.78,383
'0:0:1.8,380
'0:0:1.82,382
'0:0:1.84,394
'0:0:1.86,419
'0:0:1.88,442
'0:0:1.9,453
'0:0:1.92,453
'0:0:1.94,445
'0:0:1.96,429
'0:0:1.98,410
'0:0:2.0,393
'0:0:2.02,383
'0:0:2.04,381
'0:0:2.06,380
'0:0:2.08,375
'0:0:2.1,367
'0:0:2.12,367
'0:0:2.14,371
'0:0:2.16,377
'0:0:2.18,378
'0:0:2.2,376
'0:0:2.22,376
'0:0:2.24,380
'0:0:2.26,383
'0:0:2.28,379
'0:0:2.3,373
'0:0:2.32,372
'0:0:2.34,374
'0:0:2.36,373
'0:0:2.38,368
'0:0:2.4,362
'0:0:2.42,361
