Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,362
'0:0:0.02,361
'0:0:0.04,356
'0:0:0.06,360
'0:0:0.08,373
'0:0:0.1,380
'0:0:0.12,377
'0:0:0.14,373
'0:0:0.16,369
'0:0:0.18,365
'0:0:0.2,364
'0:0:0.22,362
'0:0:0.24,366
'0:0:0.26,380
'0:0:0.28,386
'0:0:0.3,391
'0:0:0.32,394
'0:0:0.34,391
'0:0:0.36,390
'0:0:0.38,396
'0:0:0.4,408
'0:0:0.42,429
'0:0:0.44,457
'0:0:0.46,484
'0:0:0.48,503
'0:0:0.5,512
'0:0:0.52,514
'0:0:0.54,512
'0:0:0.56,507
'0:0:0.58,500
'0:0:0.6,493
'0:0:0.62,486
'0:0:0.64,482
'0:0:0.66,477
'0:0:0.68,470
'0:0:0.7,466
'0:0:0.72,462
'0:0:0.74,457
'0:0:0.76,448
'0:0:0.78,436
'0:0:0.8,424
'0:0:0.82,411
'0:0:0.84,399
'0:0:0.86,389
'0:0:0.88,385
'0:0:0.9,386
'0:0:0.92,393
'0:0:0.94,406
'0:0:0.96,417
'0:0:0.98,417
'0:0:1.0,405
'0:0:1.02,388
'0:0:1.04,378
'0:0:1.06,380
'0:0:1.08,399
'0:0:1.1,427
'0:0:1.12,453
'0:0:1.14,474
'0:0:1.16,477
'0:0:1.18,470
'0:0:1.2,455
'0:0:1.22,438
'0:0:1.24,425
'0:0:1.26,413
'0:0:1.28,406
'0:0:1.3,403
'0:0:1.32,403
'0:0:1.34,405
'0:0:1.36,410
'0:0:1.38,419
'0:0:1.4,425
'0:0:1.42,431
'0:0:1.44,433
'0:0:1.46,429
'0:0:1.48,424
'0:0:1.5,412
'0:0:1.52,395
'0:0:1.54,377
'0:0:1.56,362
'0:0:1.58,352
'0:0:1.6,350
'0:0:1.62,352
'0:0:1.64,356
'0:0:1.66,358
'0:0:1.68,358
'0:0:1.7,361
'0:0:1.72,364
'0:0:1.74,367
'0:0:1.76,375
'0:0:1.78,400
'0:0:1.8,432
'0:0:1.82,459
'0:0:1.84,474
'0:0:1.86,476
'0:0:1.88,469
'0:0:1.9,454
'0:0:1.92,435
'0:0:1.94,417
'0:0:1.96,401
'0:0:1.98,388
'0:0:2.0,379
'0:0:2.02,374
'0:0:2.04,372
'0:0:2.06,372
'0:0:2.08,376
'0:0:2.1,380
'0:0:2.12,387
'0:0:2.14,393
'0:0:2.16,397
'0:0:2.18,398
'0:0:2.2,399
'0:0:2.22,397
'0:0:2.24,394
'0:0:2.26,392
'0:0:2.28,391
'0:0:2.3,386
'0:0:2.32,384
'0:0:2.34,398
'0:0:2.36,409
'0:0:2.38,412
'0:0:2.4,408
'0:0:2.42,401
