Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,355
'0:0:0.02,333
'0:0:0.04,312
'0:0:0.06,316
'0:0:0.08,331
'0:0:0.1,351
'0:0:0.12,363
'0:0:0.14,368
'0:0:0.16,371
'0:0:0.18,374
'0:0:0.2,376
'0:0:0.22,372
'0:0:0.24,366
'0:0:0.26,364
'0:0:0.28,366
'0:0:0.3,367
'0:0:0.32,362
'0:0:0.34,359
'0:0:0.36,362
'0:0:0.38,367
'0:0:0.4,369
'0:0:0.42,364
'0:0:0.44,358
'0:0:0.46,359
'0:0:0.48,371
'0:0:0.5,397
'0:0:0.52,422
'0:0:0.54,441
'0:0:0.56,452
'0:0:0.58,453
'0:0:0.6,450
'0:0:0.62,438
'0:0:0.64,425
'0:0:0.66,419
'0:0:0.68,418
'0:0:0.7,412
'0:0:0.72,402
'0:0:0.74,394
'0:0:0.76,390
'0:0:0.78,386
'0:0:0.8,382
'0:0:0.82,378
'0:0:0.84,379
'0:0:0.86,385
'0:0:0.88,390
'0:0:0.9,389
'0:0:0.92,379
'0:0:0.94,370
'0:0:0.96,367
'0:0:0.98,367
'0:0:1.0,367
'0:0:1.02,363
'0:0:1.04,361
'0:0:1.06,364
'0:0:1.08,368
'0:0:1.1,372
'0:0:1.12,369
'0:0:1.14,362
'0:0:1.16,359
'0:0:1.18,365
'0:0:1.2,371
'0:0:1.22,369
'0:0:1.24,366
'0:0:1.26,366
'0:0:1.28,368
'0:0:1.3,370
'0:0:1.32,370
'0:0:1.34,386
'0:0:1.36,420
'0:0:1.38,454
'0:0:1.4,471
'0:0:1.42,466
'0:0:1.44,448
'0:0:1.46,432
'0:0:1.48,417
'0:0:1.5,402
'0:0:1.52,386
'0:0:1.54,374
'0:0:1.56,367
'0:0:1.58,363
'0:0:1.6,367
'0:0:1.62,369
'0:0:1.64,371
'0:0:1.66,376
'0:0:1.68,383
'0:0:1.7,386
'0:0:1.72,383
'0:0:1.74,377
'0:0:1.76,374
'0:0:1.78,375
'0:0:1.8,374
'0:0:1.82,370
'0:0:1.84,366
'0:0:1.86,364
'0:0:1.88,368
'0:0:1.9,370
'0:0:1.92,365
'0:0:1.94,362
'0:0:1.96,365
'0:0:1.98,374
'0:0:2.0,377
'0:0:2.02,375
'0:0:2.04,371
'0:0:2.06,372
'0:0:2.08,376
'0:0:2.1,377
'0:0:2.12,372
'0:0:2.14,365
'0:0:2.16,364
'0:0:2.18,374
'0:0:2.2,399
'0:0:2.22,428
'0:0:2.24,451
'0:0:2.26,467
'0:0:2.28,472
'0:0:2.3,466
'0:0:2.32,450
'0:0:2.34,430
'0:0:2.36,416
'0:0:2.38,406
'0:0:2.4,396
'0:0:2.42,385
