Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,399
'0:0:0.02,392
'0:0:0.04,376
'0:0:0.06,362
'0:0:0.08,351
'0:0:0.1,346
'0:0:0.12,345
'0:0:0.14,345
'0:0:0.16,346
'0:0:0.18,347
'0:0:0.2,355
'0:0:0.22,362
'0:0:0.24,367
'0:0:0.26,371
'0:0:0.28,375
'0:0:0.3,376
'0:0:0.32,375
'0:0:0.34,373
'0:0:0.36,370
'0:0:0.38,366
'0:0:0.4,361
'0:0:0.42,358
'0:0:0.44,357
'0:0:0.46,361
'0:0:0.48,375
'0:0:0.5,399
'0:0:0.52,422
'0:0:0.54,435
'0:0:0.56,435
'0:0:0.58,425
'0:0:0.6,407
'0:0:0.62,390
'0:0:0.64,376
'0:0:0.66,365
'0:0:0.68,355
'0:0:0.7,347
'0:0:0.72,343
'0:0:0.74,341
'0:0:0.76,344
'0:0:0.78,348
'0:0:0.8,352
'0:0:0.82,358
'0:0:0.84,363
'0:0:0.86,367
'0:0:0.88,366
'0:0:0.9,363
'0:0:0.92,358
'0:0:0.94,353
'0:0:0.96,348
'0:0:0.98,345
'0:0:1.0,340
'0:0:1.02,336
'0:0:1.04,336
'0:0:1.06,328
'0:0:1.08,304
'0:0:1.1,338
'0:0:1.12,393
'0:0:1.14,424
'0:0:1.16,429
'0:0:1.18,415
'0:0:1.2,402
'0:0:1.22,391
'0:0:1.24,381
'0:0:1.26,374
'0:0:1.28,370
'0:0:1.3,366
'0:0:1.32,366
'0:0:1.34,367
'0:0:1.36,368
'0:0:1.38,369
'0:0:1.4,370
'0:0:1.42,368
'0:0:1.44,366
'0:0:1.46,367
'0:0:1.48,369
'0:0:1.5,370
'0:0:1.52,371
'0:0:1.54,371
'0:0:1.56,370
'0:0:1.58,369
'0:0:1.6,367
'0:0:1.62,366
'0:0:1.64,367
'0:0:1.66,377
'0:0:1.68,396
'0:0:1.7,419
'0:0:1.72,433
'0:0:1.74,433
'0:0:1.76,422
'0:0:1.78,403
'0:0:1.8,384
'0:0:1.82,369
'0:0:1.84,354
'0:0:1.86,344
'0:0:1.88,334
'0:0:1.9,335
'0:0:1.92,347
'0:0:1.94,359
'0:0:1.96,368
'0:0:1.98,373
'0:0:2.0,377
'0:0:2.02,377
'0:0:2.04,375
'0:0:2.06,373
'0:0:2.08,368
'0:0:2.1,365
'0:0:2.12,365
'0:0:2.14,364
'0:0:2.16,364
'0:0:2.18,360
'0:0:2.2,362
'0:0:2.22,365
'0:0:2.24,374
'0:0:2.26,393
'0:0:2.28,415
'0:0:2.3,431
'0:0:2.32,437
'0:0:2.34,432
'0:0:2.36,420
'0:0:2.38,403
'0:0:2.4,387
'0:0:2.42,376
