Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,295
'0:0:0.02,282
'0:0:0.04,268
'0:0:0.06,289
'0:0:0.08,362
'0:0:0.1,483
'0:0:0.12,597
'0:0:0.14,670
'0:0:0.16,692
'0:0:0.18,663
'0:0:0.2,597
'0:0:0.22,514
'0:0:0.24,445
'0:0:0.26,398
'0:0:0.28,365
'0:0:0.3,339
'0:0:0.32,317
'0:0:0.34,302
'0:0:0.36,300
'0:0:0.38,304
'0:0:0.4,289
'0:0:0.42,243
'0:0:0.44,183
'0:0:0.46,128
'0:0:0.48,77
'0:0:0.5,34
'0:0:0.52,7
'0:0:0.54,2
'0:0:0.56,2
'0:0:0.58,2
'0:0:0.6,1
'0:0:0.62,5
'0:0:0.64,26
'0:0:0.66,57
'0:0:0.68,86
'0:0:0.7,113
'0:0:0.72,116
'0:0:0.74,64
'0:0:0.76,0
'0:0:0.78,0
'0:0:0.8,0
'0:0:0.82,0
'0:0:0.84,0
'0:0:0.86,0
'0:0:0.88,0
'0:0:0.9,0
'0:0:0.92,0
'0:0:0.94,0
'0:0:0.96,0
'0:0:0.98,20
'0:0:1.0,129
'0:0:1.02,346
'0:0:1.04,594
'0:0:1.06,820
'0:0:1.08,1009
'0:0:1.1,1022
'0:0:1.12,1022
'0:0:1.14,1022
'0:0:1.16,1022
'0:0:1.18,1022
'0:0:1.2,1021
'0:0:1.22,1010
'0:0:1.24,980
'0:0:1.26,936
'0:0:1.28,868
'0:0:1.3,777
'0:0:1.32,696
'0:0:1.34,651
'0:0:1.36,629
'0:0:1.38,616
'0:0:1.4,596
'0:0:1.42,561
'0:0:1.44,511
'0:0:1.46,425
'0:0:1.48,338
'0:0:1.5,270
'0:0:1.52,228
'0:0:1.54,216
'0:0:1.56,231
'0:0:1.58,261
'0:0:1.6,295
'0:0:1.62,326
'0:0:1.64,359
'0:0:1.66,380
'0:0:1.68,373
'0:0:1.7,354
'0:0:1.72,350
'0:0:1.74,368
'0:0:1.76,410
'0:0:1.78,479
'0:0:1.8,552
'0:0:1.82,597
'0:0:1.84,604
'0:0:1.86,586
'0:0:1.88,548
'0:0:1.9,494
'0:0:1.92,430
'0:0:1.94,407
'0:0:1.96,458
'0:0:1.98,544
'0:0:2.0,585
'0:0:2.02,523
'0:0:2.04,438
'0:0:2.06,419
'0:0:2.08,438
'0:0:2.1,389
'0:0:2.12,244
'0:0:2.14,49
'0:0:2.16,0
'0:0:2.18,0
'0:0:2.2,0
'0:0:2.22,0
'0:0:2.24,0
'0:0:2.26,0
'0:0:2.28,0
'0:0:2.3,9
'0:0:2.32,60
'0:0:2.34,132
'0:0:2.36,196
'0:0:2.38,250
'0:0:2.4,290
