Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,360
'0:0:0.02,352
'0:0:0.04,338
'0:0:0.06,330
'0:0:0.08,317
'0:0:0.1,307
'0:0:0.12,308
'0:0:0.14,312
'0:0:0.16,314
'0:0:0.18,308
'0:0:0.2,305
'0:0:0.22,313
'0:0:0.24,322
'0:0:0.26,324
'0:0:0.28,314
'0:0:0.3,302
'0:0:0.32,304
'0:0:0.34,322
'0:0:0.36,370
'0:0:0.38,431
'0:0:0.4,492
'0:0:0.42,540
'0:0:0.44,554
'0:0:0.46,538
'0:0:0.48,501
'0:0:0.5,468
'0:0:0.52,451
'0:0:0.54,439
'0:0:0.56,428
'0:0:0.58,407
'0:0:0.6,387
'0:0:0.62,377
'0:0:0.64,370
'0:0:0.66,363
'0:0:0.68,351
'0:0:0.7,345
'0:0:0.72,343
'0:0:0.74,342
'0:0:0.76,337
'0:0:0.78,319
'0:0:0.8,309
'0:0:0.82,312
'0:0:0.84,323
'0:0:0.86,326
'0:0:0.88,315
'0:0:0.9,308
'0:0:0.92,313
'0:0:0.94,321
'0:0:0.96,322
'0:0:0.98,314
'0:0:1.0,308
'0:0:1.02,313
'0:0:1.04,319
'0:0:1.06,321
'0:0:1.08,312
'0:0:1.1,307
'0:0:1.12,318
'0:0:1.14,351
'0:0:1.16,412
'0:0:1.18,475
'0:0:1.2,521
'0:0:1.22,545
'0:0:1.24,538
'0:0:1.26,510
'0:0:1.28,469
'0:0:1.3,436
'0:0:1.32,417
'0:0:1.34,409
'0:0:1.36,401
'0:0:1.38,385
'0:0:1.4,370
'0:0:1.42,361
'0:0:1.44,353
'0:0:1.46,350
'0:0:1.48,343
'0:0:1.5,339
'0:0:1.52,341
'0:0:1.54,341
'0:0:1.56,338
'0:0:1.58,327
'0:0:1.6,314
'0:0:1.62,310
'0:0:1.64,312
'0:0:1.66,316
'0:0:1.68,309
'0:0:1.7,302
'0:0:1.72,307
'0:0:1.74,314
'0:0:1.76,322
'0:0:1.78,316
'0:0:1.8,308
'0:0:1.82,312
'0:0:1.84,325
'0:0:1.86,339
'0:0:1.88,338
'0:0:1.9,333
'0:0:1.92,339
'0:0:1.94,361
'0:0:1.96,409
'0:0:1.98,467
'0:0:2.0,516
'0:0:2.02,548
'0:0:2.04,551
'0:0:2.06,526
'0:0:2.08,486
'0:0:2.1,444
'0:0:2.12,422
'0:0:2.14,412
'0:0:2.16,405
'0:0:2.18,391
'0:0:2.2,376
'0:0:2.22,367
'0:0:2.24,359
'0:0:2.26,349
'0:0:2.28,344
'0:0:2.3,343
'0:0:2.32,346
'0:0:2.34,346
'0:0:2.36,341
'0:0:2.38,326
'0:0:2.4,312
'0:0:2.42,309
