Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,274
'0:0:0.02,295
'0:0:0.04,308
'0:0:0.06,330
'0:0:0.08,356
'0:0:0.1,380
'0:0:0.12,398
'0:0:0.14,397
'0:0:0.16,383
'0:0:0.18,362
'0:0:0.2,344
'0:0:0.22,341
'0:0:0.24,342
'0:0:0.26,343
'0:0:0.28,336
'0:0:0.3,330
'0:0:0.32,337
'0:0:0.34,362
'0:0:0.36,422
'0:0:0.38,500
'0:0:0.4,582
'0:0:0.42,649
'0:0:0.44,680
'0:0:0.46,674
'0:0:0.48,629
'0:0:0.5,562
'0:0:0.52,495
'0:0:0.54,436
'0:0:0.56,385
'0:0:0.58,337
'0:0:0.6,294
'0:0:0.62,274
'0:0:0.64,272
'0:0:0.66,285
'0:0:0.68,300
'0:0:0.7,319
'0:0:0.72,344
'0:0:0.74,365
'0:0:0.76,374
'0:0:0.78,364
'0:0:0.8,346
'0:0:0.82,336
'0:0:0.84,327
'0:0:0.86,315
'0:0:0.88,295
'0:0:0.9,273
'0:0:0.92,263
'0:0:0.94,261
'0:0:0.96,259
'0:0:0.98,253
'0:0:1.0,261
'0:0:1.02,313
'0:0:1.04,403
'0:0:1.06,499
'0:0:1.08,564
'0:0:1.1,590
'0:0:1.12,588
'0:0:1.14,558
'0:0:1.16,510
'0:0:1.18,446
'0:0:1.2,381
'0:0:1.22,330
'0:0:1.24,289
'0:0:1.26,256
'0:0:1.28,230
'0:0:1.3,219
'0:0:1.32,228
'0:0:1.34,253
'0:0:1.36,282
'0:0:1.38,302
'0:0:1.4,322
'0:0:1.42,339
'0:0:1.44,347
'0:0:1.46,344
'0:0:1.48,329
'0:0:1.5,311
'0:0:1.52,299
'0:0:1.54,289
'0:0:1.56,277
'0:0:1.58,260
'0:0:1.6,244
'0:0:1.62,238
'0:0:1.64,238
'0:0:1.66,249
'0:0:1.68,272
'0:0:1.7,327
'0:0:1.72,413
'0:0:1.74,500
'0:0:1.76,561
'0:0:1.78,578
'0:0:1.8,558
'0:0:1.82,519
'0:0:1.84,471
'0:0:1.86,415
'0:0:1.88,355
'0:0:1.9,301
'0:0:1.92,262
'0:0:1.94,239
'0:0:1.96,229
'0:0:1.98,226
'0:0:2.0,235
'0:0:2.02,260
'0:0:2.04,295
'0:0:2.06,328
'0:0:2.08,343
'0:0:2.1,343
'0:0:2.12,337
'0:0:2.14,326
'0:0:2.16,312
'0:0:2.18,288
'0:0:2.2,266
'0:0:2.22,251
'0:0:2.24,244
'0:0:2.26,239
'0:0:2.28,227
'0:0:2.3,219
'0:0:2.32,227
'0:0:2.34,260
'0:0:2.36,329
'0:0:2.38,407
'0:0:2.4,482
'0:0:2.42,536
