Experiment name:,NeuLog experiment
Duration:, 2 0
Rate:, 50 per second
Sensors:, Pulse (ID 1  Exp 1)
Range:, Wave
Units:, Arb
Time
'0:0:0.0,968
'0:0:0.02,688
'0:0:0.04,338
'0:0:0.06,82
'0:0:0.08,1
'0:0:0.1,2
'0:0:0.12,6
'0:0:0.14,38
'0:0:0.16,97
'0:0:0.18,171
'0:0:0.2,243
'0:0:0.22,290
'0:0:0.24,309
'0:0:0.26,308
'0:0:0.28,310
'0:0:0.3,324
'0:0:0.32,333
'0:0:0.34,334
'0:0:0.36,327
'0:0:0.38,321
'0:0:0.4,318
'0:0:0.42,312
'0:0:0.44,317
'0:0:0.46,327
'0:0:0.48,336
'0:0:0.5,340
'0:0:0.52,339
'0:0:0.54,329
'0:0:0.56,313
'0:0:0.58,301
'0:0:0.6,309
'0:0:0.62,355
'0:0:0.64,420
'0:0:0.66,477
'0:0:0.68,512
'0:0:0.7,520
'0:0:0.72,501
'0:0:0.74,459
'0:0:0.76,410
'0:0:0.78,372
'0:0:0.8,349
'0:0:0.82,338
'0:0:0.84,337
'0:0:0.86,342
'0:0:0.88,354
'0:0:0.9,364
'0:0:0.92,371
'0:0:0.94,371
'0:0:0.96,361
'0:0:0.98,351
'0:0:1.0,345
'0:0:1.02,340
'0:0:1.04,334
'0:0:1.06,322
'0:0:1.08,315
'0:0:1.1,313
'0:0:1.12,307
'0:0:1.14,294
'0:0:1.16,278
'0:0:1.18,274
'0:0:1.2,279
'0:0:1.22,282
'0:0:1.24,272
'0:0:1.26,257
'0:0:1.28,255
'0:0:1.3,265
'0:0:1.32,277
'0:0:1.34,304
'0:0:1.36,360
'0:0:1.38,433
'0:0:1.4,488
'0:0:1.42,512
'0:0:1.44,505
'0:0:1.46,468
'0:0:1.48,428
'0:0:1.5,393
'0:0:1.52,366
'0:0:1.54,348
'0:0:1.56,335
'0:0:1.58,336
'0:0:1.6,343
'0:0:1.62,351
'0:0:1.64,346
'0:0:1.66,339
'0:0:1.68,340
'0:0:1.7,347
'0:0:1.72,355
'0:0:1.74,355
'0:0:1.76,344
'0:0:1.78,330
'0:0:1.8,322
'0:0:1.82,314
'0:0:1.84,301
'0:0:1.86,284
'0:0:1.88,279
'0:0:1.9,281
'0:0:1.92,283
'0:0:1.94,284
'0:0:1.96,281
'0:0:1.98,283
'0:0:2.0,290
'0:0:2.02,293
'0:0:2.04,287
'0:0:2.06,276
'0:0:2.08,277
'0:0:2.1,281
'0:0:2.12,293
'0:0:2.14,335
'0:0:2.16,403
'0:0:2.18,471
'0:0:2.2,518
'0:0:2.22,531
'0:0:2.24,506
'0:0:2.26,454
'0:0:2.28,406
'0:0:2.3,375
'0:0:2.32,354
'0:0:2.34,340
'0:0:2.36,326
'0:0:2.38,320
'0:0:2.4,325
'0:0:2.42,328
